,FACILITY ID,FACILITY NAME,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,Location
10912,FA0252587,EL MEXICANO MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1900 E ALONDRA BLVD,COMPTON,90221,33.888679514,-118.2018234971,"(33.888679514, -118.2018234971)"
10913,FA0016359,EAST SHORE R.V. PARK - FOOD MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1440 E CAMPER VIEW RD,SAN DIMAS,91773,34.0822541555,-117.790380076,"(34.0822541555, -117.790380076)"
10917,FA0011992,EDDIE'S MINIMART,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2124 S MAIN ST,LOS ANGELES,90007,34.0287173379,-118.2660068724,"(34.0287173379, -118.2660068724)"
10920,FA0019948,DUARTE DRIVE THRU STORE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2444 E HUNTINGTON DR,DUARTE,91010,34.139475115799996,-117.9519291726,"(34.1394751158, -117.9519291726)"
10928,FA0012330,EL MERCADO DEL PUEBLO,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",9566 E GARVEY AVE,SOUTH EL MONTE,91733,34.062580036199996,-118.06110055100001,"(34.0625800362, -118.061100551)"
10932,FA0012439,EL PALACIO DE CENTRO AMERICA,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2690 W PICO BLVD,LOS ANGELES,90006,34.0470638738,-118.2972553109,"(34.0470638738, -118.2972553109)"
10937,FA0222991,EAST L.A. MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3318 CITY TERRACE DR,LOS ANGELES,90063-3842,34.049062896,-118.1891307778,"(34.049062896, -118.1891307778)"
10940,FA0270562,DREAMSCAPE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",10250 SANTA MONICA BLVD STE 2740,CENTURY CITY,90067,34.0600356048,-118.41988662450001,"(34.0600356048, -118.4198866245)"
10944,FA0137892,DUTY FREE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",380 WORLD WAY T19,LOS ANGELES,90045,33.94359568,-118.40831387940001,"(33.94359568, -118.4083138794)"
10947,FA0020824,EL MONTE SEAFOOD MARKET INC,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",2859 MOUNTAIN VIEW RD E,EL MONTE,91732,34.0625466695,-118.0224775434,"(34.0625466695, -118.0224775434)"
10951,FA0020920,EL MAMBI MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",328 E CHEVY CHASE DR # #C,GLENDALE,91205,34.133506996,-118.2513811348,"(34.133506996, -118.2513811348)"
10956,FA0019676,"DUKMAJIAN,JEAN","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",7004 LAUREL CANYON BLVD,NORTH HOLLYWOOD,91605,34.1977752706,-118.3963149592,"(34.1977752706, -118.3963149592)"
10964,FA0061275,EDDIE'S LIQUOR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2215 W ARTESIA BLVD,TORRANCE,90504,33.8732443369,-118.31852066020001,"(33.8732443369, -118.3185206602)"
10969,FA0020952,EL NOVILLO MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",8714 E AVENUE T QRS,LITTLEROCK,93543,34.542882732399995,-117.9743093294,"(34.5428827324, -117.9743093294)"
10970,FA0160226,E AND J VENDING,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1945 S HILL ST,LOS ANGELES,90007,34.0305601883,-118.2679508035,"(34.0305601883, -118.2679508035)"
10975,FA0245885,EDVARDS GAS STATION,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",341 N VICTORY BLVD,BURBANK,91502,34.1771464094,-118.3182874683,"(34.1771464094, -118.3182874683)"
10976,FA0012436,EL PAISA MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",3901 E CESAR E CHAVEZ AVE,LOS ANGELES,90063,34.040729335900004,-118.18210643389999,"(34.0407293359, -118.1821064339)"
10980,FA0241793,EL JALAPENO MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",315 W OPP ST,WILMINGTON,90744-3412,33.7827682602,-118.265850106,"(33.7827682602, -118.265850106)"
10982,FA0255243,EL MONTOSO MINI MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4050 S CENTRAL AVE,LOS ANGELES,90011,34.0099655554,-118.2564678432,"(34.0099655554, -118.2564678432)"
10983,FA0020114,EASTLAND CHEVRON,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",246 N CITRUS ST,WEST COVINA,91791,34.0750269634,-117.88962646899999,"(34.0750269634, -117.889626469)"
10985,FA0241020,EDITH'S MARKET #2,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",603 N EVERGREEN AVE,LOS ANGELES,90033-3123,34.0460157447,-118.1989006743,"(34.0460157447, -118.1989006743)"
10991,FA0012021,ED'S LIQUOR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",825 PICO BLVD,SANTA MONICA,90405,34.0129374284,-118.4822257699,"(34.0129374284, -118.4822257699)"
11004,FA0061209,E Z  STOP LIQUOR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",24879 RAILROAD AVE,NEWHALL,91321,34.387384406500004,-118.5334850891,"(34.3873844065, -118.5334850891)"
11007,FA0256153,DUTY FREE,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",300 WORLD WAY,LOS ANGELES,90045,33.9450558323,-118.40558708209998,"(33.9450558323, -118.4055870821)"
